	Sum
M-chr14_69818857_69818891	11377.216667491706
M-chr1_203267422_203267456	11377.216667491704
M-chr17_33779272_33779306	8481.197879402907
M-chr20_50071438_50071472	17582.97121339627
M-chr3_194315836_194315870	9929.207273447306
M-chr6_1596410_1596444	11170.358182628219
M-chr7_101077758_101077792	8894.914849129878
M-chr4_113394872_113394906	5998.89606104108
M-chr2_41840821_41840855	8274.339394539422
M-chr13_26698863_26698897	31649.348184113285
M-chr12_8890736_8890770	7860.62242481245
M-chr1_162848012_162848046	14273.235455580503
M-chr3_126522438_126522472	9929.207273447306
M-chr16_18969458_18969492	6412.613030768051
M-chr3_98023411_98023445	9101.773333993364
M-chr3_192444690_192444724	9515.490303720335
M-chr15_98519237_98519271	9515.490303720335
M-chr13_30132704_30132738	13445.80151612656
M-chr22_20157151_20157185	12411.509091809132
M-chr11_2532934_2532968	8688.056364266393
M-chr2_64917788_64917822	9722.34878858382
M-chr2_69724804_69724838	10342.924243174277
M-chr3_115784661_115784695	14066.376970717016
M-chr5_160345512_160345546	5998.89606104108
M-chr11_85854995_85855029	8481.197879402907
M-chr3_16247477_16247511	8067.480909675935
M-chr1_87131889_87131923	5998.89606104108
M-chr13_25287535_25287569	18410.405152850213
M-chr16_75199482_75199516	7033.188485358508
M-chr18_839509_839543	11790.933637218675
M-chr12_125183307_125183341	16134.96181935187
M-chr2_231056544_231056578	6826.330000495022
M-chr3_102229222_102229256	5998.89606104108
M-chr11_73335628_73335662	17789.829698259757
M-chr1_20493963_20493997	9308.63181885685
M-chr1_221203641_221203675	12618.367576672617
M-chr12_8544393_8544427	6826.330000495022
M-chr2_73177485_73177519	7240.046970221993
M-chr8_8750868_8750902	9101.773333993364
M-chr2_231906237_231906271	10549.782728037762
M-chr10_15585411_15585445	5998.89606104108
M-chr8_41528966_41529000	19237.839092304155
M-chr7_101688474_101688508	17789.829698259757
M-chr2_42859119_42859153	8067.480909675935
M-chr1_26036111_26036145	14273.235455580501
M-chr19_6632187_6632221	6205.754545904566
M-chr6_38494128_38494162	7033.188485358508
M-chr15_89430870_89430904	16341.820304215356
M-chr9_128203305_128203339	8481.197879402907
M-chr8_73174463_73174497	8894.914849129878
M-chr5_177390654_177390688	6619.471515631537
M-chr5_21459362_21459396	9101.773333993364
M-chr19_2474707_2474741	6412.613030768051
M-chr2_234545101_234545135	6412.613030768051
M-chr12_7860084_7860118	6826.330000495023
M-chr3_184544148_184544182	5171.462121587138
M-chr14_104078098_104078132	14686.952425307472
M-chr17_28727026_28727060	12204.650606945646
M-chr2_84927181_84927215	7240.046970221993
M-chr1_167059322_167059356	11584.07515235519
M-chr12_106136358_106136392	5171.462121587138
M-chr18_72762695_72762729	5378.320606450624
M-chr22_30387499_30387533	9722.34878858382
M-chrX_27186867_27186901	4550.886666996682
M-chr2_218898398_218898432	10136.065758310791
M-chr9_126781949_126781983	8067.480909675935
M-chr20_40963158_40963192	6205.754545904566
M-chr5_88141655_88141689	5792.037576177595
M-chr4_173013609_173013643	6205.754545904566
M-chr3_38651380_38651414	13032.084546399588
M-chr13_53151978_53152012	10756.641212901248
M-chr3_113051364_113051398	8688.056364266393
M-chr9_37913755_37913789	10342.924243174277
M-chr12_13255880_13255914	11997.792122082163
M-chr8_69942502_69942536	9308.63181885685
M-chr2_25129385_25129419	6412.613030768051
M-chr19_47349125_47349159	5998.89606104108
M-chr14_51979272_51979306	5792.037576177595
M-chr11_12282020_12282054	7240.046970221993
M-chr11_62906119_62906153	15100.669395034443
M-chr2_232440724_232440758	7033.188485358508
M-chr14_96741595_96741629	8274.339394539422
M-chr2_64331024_64331058	4964.603636723653
M-chr15_101641343_101641377	5378.320606450624
M-chr17_72540501_72540535	6826.330000495023
M-chr2_9142875_9142909	7446.905455085479
M-chr3_100590733_100590767	4550.886666996682
M-chr9_117644818_117644852	4964.603636723653
M-chr12_48618628_48618662	7446.905455085479
M-chr12_62794152_62794186	5585.179091314109
M-chr19_50783746_50783780	4757.745151860167
M-chr7_132318901_132318935	6205.754545904566
M-chr2_88001995_88002029	10549.782728037762
M-chr6_72412331_72412365	23995.58424416432
M-chr5_178164353_178164387	14686.952425307472
M-chr12_48853398_48853432	4964.603636723653
M-chr1_178542648_178542682	5585.179091314109
M-chr22_45578160_45578194	7446.90545508548
M-chr14_72420929_72420963	5378.320606450624
M-chr6_149834684_149834718	4757.745151860167
M-chr19_18410776_18410810	7033.188485358508
M-chr10_77641990_77642024	5585.179091314109
M-chr16_69311273_69311307	9308.63181885685
M-chr7_103297351_103297385	5998.89606104108
M-chr20_4607399_4607433	7033.188485358508
M-chr20_50186398_50186432	8067.480909675935
M-chr3_137014057_137014091	5378.320606450624
M-chr12_58346209_58346243	5378.320606450624
M-chr20_59403881_59403915	10549.782728037762
M-chr12_54006103_54006137	6205.754545904566
M-chr17_50094422_50094456	4137.169697269711
M-chr2_36785359_36785393	14273.235455580501
