2025-07-03 02:09:50.951
SEM_-_BI_WT_hg38.bam
Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
chr1	248956422	3378267.0	0.0
chr10	133797422	1846447.0	0.0
chr11	135086622	1817489.0	0.0
chr11_KI270721v1_random	100316	320.0	0.0
chr12	133275309	1875820.0	0.0
chr13	114364328	1448521.0	0.0
chr14	107043718	1238640.0	0.0
chr14_GL000009v2_random	201709	3052.0	0.0
chr14_GL000225v1_random	211173	9930.0	0.0
chr14_KI270722v1_random	194050	2308.0	0.0
chr14_GL000194v1_random	191469	2441.0	0.0
chr14_KI270723v1_random	38115	492.0	0.0
chr14_KI270724v1_random	39555	558.0	0.0
chr14_KI270725v1_random	172810	2127.0	0.0
chr14_KI270726v1_random	43739	155.0	0.0
chr15	101991189	1159042.0	0.0
chr15_KI270727v1_random	448248	3163.0	0.0
chr16	90338345	1189194.0	0.0
chr16_KI270728v1_random	1872759	16873.0	0.0
chr17	83257441	1173096.0	0.0
chr17_GL000205v2_random	185591	4245.0	0.0
chr17_KI270729v1_random	280839	16907.0	0.0
chr17_KI270730v1_random	112551	3497.0	0.0
chr18	80373285	1290491.0	0.0
chr19	58617616	894734.0	0.0
chr1_KI270706v1_random	175055	2564.0	0.0
chr1_KI270707v1_random	32032	432.0	0.0
chr1_KI270708v1_random	127682	1286.0	0.0
chr1_KI270709v1_random	66860	9113.0	0.0
chr1_KI270710v1_random	40176	618.0	0.0
chr1_KI270711v1_random	42210	1074.0	0.0
chr1_KI270712v1_random	176043	2334.0	0.0
chr1_KI270713v1_random	40745	1005.0	0.0
chr1_KI270714v1_random	41717	718.0	0.0
chr2	242193529	3314879.0	0.0
chr20	64444167	982543.0	0.0
chr21	46709983	566915.0	0.0
chr22	50818468	540175.0	0.0
chr22_KI270731v1_random	150754	1112.0	0.0
chr22_KI270732v1_random	41543	881.0	0.0
chr22_KI270733v1_random	179772	11089.0	0.0
chr22_KI270734v1_random	165050	1315.0	0.0
chr22_KI270735v1_random	42811	1689.0	0.0
chr22_KI270736v1_random	181920	5337.0	0.0
chr22_KI270737v1_random	103838	3669.0	0.0
chr22_KI270738v1_random	99375	2940.0	0.0
chr22_KI270739v1_random	73985	1081.0	0.0
chr2_KI270715v1_random	161471	2998.0	0.0
chr2_KI270716v1_random	153799	3235.0	0.0
chr3	198295559	2726129.0	0.0
chr3_GL000221v1_random	155397	2988.0	0.0
chr4	190214555	2564979.0	0.0
chr4_GL000008v2_random	209709	4362.0	0.0
chr5	181538259	2473200.0	0.0
chr5_GL000208v1_random	92689	1974.0	0.0
chr6	170805979	2289127.0	0.0
chr7	159345973	2022270.0	0.0
chr8	145138636	2768738.0	0.0
chr9	138394717	1676755.0	0.0
chr9_KI270717v1_random	40062	386.0	0.0
chr9_KI270718v1_random	38054	705.0	0.0
chr9_KI270719v1_random	176845	2959.0	0.0
chr9_KI270720v1_random	39050	926.0	0.0
chr1_KI270762v1_alt	354444	1138.0	0.0
chr1_KI270766v1_alt	256271	1523.0	0.0
chr1_KI270760v1_alt	109528	588.0	0.0
chr1_KI270765v1_alt	185285	1947.0	0.0
chr1_GL383518v1_alt	182439	1882.0	0.0
chr1_GL383519v1_alt	110268	896.0	0.0
chr1_GL383520v2_alt	366580	2784.0	0.0
chr1_KI270764v1_alt	50258	333.0	0.0
chr1_KI270763v1_alt	911658	7271.0	0.0
chr1_KI270759v1_alt	425601	2790.0	0.0
chr1_KI270761v1_alt	165834	780.0	0.0
chr2_KI270770v1_alt	136240	753.0	0.0
chr2_KI270773v1_alt	70887	394.0	0.0
chr2_KI270774v1_alt	223625	1349.0	0.0
chr2_KI270769v1_alt	120616	633.0	0.0
chr2_GL383521v1_alt	143390	975.0	0.0
chr2_KI270772v1_alt	133041	4269.0	0.0
chr2_KI270775v1_alt	138019	985.0	0.0
chr2_KI270771v1_alt	110395	618.0	0.0
chr2_KI270768v1_alt	110099	811.0	0.0
chr2_GL582966v2_alt	96131	682.0	0.0
chr2_GL383522v1_alt	123821	1182.0	0.0
chr2_KI270776v1_alt	174166	885.0	0.0
chr2_KI270767v1_alt	161578	617.0	0.0
chr3_JH636055v2_alt	173151	1330.0	0.0
chr3_KI270783v1_alt	109187	682.0	0.0
chr3_KI270780v1_alt	224108	1705.0	0.0
chr3_GL383526v1_alt	180671	1436.0	0.0
chr3_KI270777v1_alt	173649	1175.0	0.0
chr3_KI270778v1_alt	248252	1496.0	0.0
chr3_KI270781v1_alt	113034	1078.0	0.0
chr3_KI270779v1_alt	205312	653.0	0.0
chr3_KI270782v1_alt	162429	1159.0	0.0
chr3_KI270784v1_alt	184404	1404.0	0.0
chr4_KI270790v1_alt	220246	1198.0	0.0
chr4_GL383528v1_alt	376187	2443.0	0.0
chr4_KI270787v1_alt	111943	908.0	0.0
chr4_GL000257v2_alt	586476	3913.0	0.0
chr4_KI270788v1_alt	158965	1063.0	0.0
chr4_GL383527v1_alt	164536	1116.0	0.0
chr4_KI270785v1_alt	119912	665.0	0.0
chr4_KI270789v1_alt	205944	1190.0	0.0
chr4_KI270786v1_alt	244096	774.0	0.0
chr5_KI270793v1_alt	126136	649.0	0.0
