,Location,NFIA-Nuc_engagement
chr19_43668327_43668342,orientated upstream,0
chr16_2883157_2883172,orientated upstream,0
chr19_45769541_45769556,orientated upstream,0
chr5_10761323_10761338,orientated upstream,0
chr19_45179632_45179647,orientated upstream,0
chr1_6625094_6625109,orientated upstream,0
chr17_7887804_7887819,orientated upstream,0
chr19_1074854_1074869,orientated upstream,0
chr5_16936381_16936396,orientated upstream,0
chr17_14458948_14458963,orientated upstream,0
chr10_22325705_22325720,orientated upstream,0
chr14_97077581_97077596,orientated upstream,0
chr13_19864173_19864188,orientated upstream,0
chr3_39153668_39153683,orientated upstream,0
chr16_1926502_1926517,orientated upstream,0
chrX_40109131_40109146,orientated upstream,0
chr2_101308901_101308916,orientated upstream,0
chr13_20722299_20722314,orientated upstream,0
chr17_82236428_82236443,orientated upstream,0
chr16_71409213_71409228,orientated upstream,0
chr19_10701309_10701324,orientated upstream,0
chr6_2450765_2450780,orientated upstream,0
chr8_143188950_143188965,orientated upstream,0
chr4_10019107_10019122,orientated upstream,0
chr7_47041146_47041161,orientated upstream,0
chr9_31825887_31825902,orientated upstream,0
chr1_940422_940437,orientated upstream,0
chr2_112834573_112834588,orientated upstream,0
chr1_999283_999298,orientated upstream,0
chr9_38592016_38592031,orientated upstream,0
chr1_148172186_148172201,orientated upstream,0
chr12_51590747_51590762,orientated upstream,0
chr19_7920564_7920579,orientated upstream,0
chrX_40003586_40003601,orientated upstream,0
chr8_98165937_98165952,orientated upstream,0
chr10_91378258_91378273,orientated upstream,0
chr13_18568190_18568205,orientated upstream,0
chr16_57235349_57235364,orientated upstream,0
chr4_133969671_133969686,orientated upstream,0
chr6_142846113_142846128,orientated upstream,0
chr7_119967436_119967451,orientated upstream,0
chr14_75455272_75455287,orientated upstream,0
chr19_15672961_15672976,orientated upstream,0
chr2_48715498_48715513,orientated upstream,0
chr22_40009649_40009664,orientated upstream,0
chr1_155023018_155023033,orientated upstream,0
chr20_56555135_56555150,orientated upstream,0
chr10_84523687_84523702,orientated upstream,0
chr13_27341849_27341864,orientated upstream,0
chr3_185900358_185900373,orientated upstream,0
chr4_186910534_186910549,orientated upstream,0
chr9_35318942_35318957,orientated upstream,0
chrX_17547794_17547809,orientated upstream,0
chr17_7282387_7282402,orientated upstream,0
chr19_2607939_2607954,orientated upstream,0
chr2_240387842_240387857,orientated upstream,0
chr5_149485941_149485956,orientated upstream,0
chr7_98058412_98058427,orientated upstream,0
chr15_22887616_22887631,orientated upstream,0
chr3_45737464_45737479,orientated upstream,0
chr3_9788035_9788050,orientated upstream,0
chr4_1346733_1346748,orientated upstream,0
chr1_109365846_109365861,orientated upstream,0
chr1_22023101_22023116,orientated upstream,0
chr1_85527290_85527305,orientated upstream,0
chr14_69725682_69725697,orientated upstream,0
chr16_79519642_79519657,orientated upstream,0
chr17_28743590_28743605,orientated upstream,0
chr3_100339094_100339109,orientated upstream,0
chr4_146275629_146275644,orientated upstream,0
chr5_142845703_142845718,orientated upstream,0
chr7_119783992_119784007,orientated upstream,0
chr9_72042004_72042019,orientated upstream,0
chrX_150767254_150767269,orientated upstream,0
chr1_42974988_42975003,orientated upstream,0
chr17_44602568_44602583,orientated upstream,0
chr17_57858006_57858021,orientated upstream,0
chr3_193241146_193241161,orientated upstream,0
chr9_136094751_136094766,orientated upstream,0
chrX_17688483_17688498,orientated upstream,0
chr12_45285852_45285867,orientated upstream,0
chr12_95054276_95054291,orientated upstream,0
chr14_64218525_64218540,orientated upstream,0
chr3_42804712_42804727,orientated upstream,0
chr6_52153003_52153018,orientated upstream,0
chrX_45295778_45295793,orientated upstream,0
chr10_120456872_120456887,orientated upstream,0
chr11_76161884_76161899,orientated upstream,0
chr17_49249595_49249610,orientated upstream,0
chr19_12547670_12547685,orientated upstream,0
chr19_3607884_3607899,orientated upstream,0
chr2_25719647_25719662,orientated upstream,0
chr4_1289552_1289567,orientated upstream,0
chr4_138339053_138339068,orientated upstream,0
chr4_3780621_3780636,orientated upstream,0
chr6_139344381_139344396,orientated upstream,0
chr9_37447366_37447381,orientated upstream,0
chr10_33273505_33273520,orientated upstream,0
chr10_97687598_97687613,orientated upstream,0
chr12_62714924_62714939,orientated upstream,0
chr14_58166595_58166610,orientated upstream,0
chr19_39936424_39936439,orientated upstream,0
chr19_49802478_49802493,orientated upstream,0
chr20_709594_709609,orientated upstream,0
chr4_133565598_133565613,orientated upstream,0
chr5_109281314_109281329,orientated upstream,0
chr5_120458412_120458427,orientated upstream,0
chr6_112360718_112360733,orientated upstream,0
chr6_142187470_142187485,orientated upstream,0
chr6_4345741_4345756,orientated upstream,0
chr8_20312359_20312374,orientated upstream,0
chr9_36903887_36903902,orientated upstream,0
chr1_234106243_234106258,orientated upstream,0
chr1_91929483_91929498,orientated upstream,0
chr11_15911841_15911856,orientated upstream,0
chr12_7695668_7695683,orientated upstream,0
chr15_72136325_72136340,orientated upstream,0
chr17_16488732_16488747,orientated upstream,0
chr17_19384903_19384918,orientated upstream,0
chr17_31299817_31299832,orientated upstream,0
chr17_6753293_6753308,orientated upstream,0
chr22_24455821_24455836,orientated upstream,0
chr3_24812344_24812359,orientated upstream,0
