	K562_NFIA_BX_rep1_hg38_NFIA-d95_REORIENT-Random_SORT-Occupancy_150bp_5read1-MIN100_NCIS_sense.cdt	K562_NFIA_BX_rep1_hg38_NFIA-d95_REORIENT-Random_SORT-Occupancy_150bp_5read1-MIN100_NCIS_anti.cdt
chr8_129682234_129682249	103.15563880043149	37.37523144943168
chr7_100479334_100479349	255.6465831141127	2.990018515954535
chr10_72364411_72364426	79.23549067279518	56.81035180313615
chr1_156616630_156616645	148.00591653974956	19.435120353704477
chr7_106072235_106072250	94.1855832525679	20.93012961168175
chr6_41279118_41279133	44.85027773931801	25.415157385613547
chr19_47313323_47313338	35.88022219145442	20.93012961168175
chr16_66900154_66900169	55.31534254515887	35.880222191454415
chr1_112700967_112700982	73.2554536408861	8.970055547863605
chr12_56636941_56636956	31.39519441752261	16.445101837749945
chr6_16005996_16006011	25.41515738561354	29.900185159545337
chr22_21574675_21574690	142.02587950784044	106.14565731638602
chr1_11842353_11842368	110.63068509031778	16.445101837749945
chr11_114160164_114160179	83.72051844672697	31.39519441752261
chr7_106859161_106859176	56.810351803136136	37.37523144943168
chr6_42563763_42563778	23.92014812763628	28.40517590156807
chr6_43627417_43627432	61.29537957706795	13.455083321795408
chr1_206455968_206455983	23.920148127636274	8.970055547863605
chr22_23223688_23223703	239.2014812763629	142.02587950784044
chr1_12478403_12478418	40.36524996538623	46.345286997295275
chr17_81394147_81394162	92.69057399459061	28.40517590156808
chr1_12162090_12162105	71.76044438290882	31.39519441752261
chr15_63436990_63437005	16.445101837749945	32.890203675499876
chr17_63676138_63676153	49.3353055132498	19.435120353704477
chr7_127798231_127798246	92.69057399459057	43.355268481340744
chr11_12707300_12707315	31.395194417522614	20.930129611681743
chr7_151039527_151039542	32.890203675499876	8.970055547863605
chr20_50166135_50166150	31.39519441752261	7.475046289886338
chr15_74546370_74546385	44.85027773931802	49.335305513249814
chr7_116876983_116876998	46.345286997295275	17.94011109572721
chr1_1758984_1758999	10.465064805840873	32.890203675499876
chr6_16109213_16109228	64.28539809302248	32.890203675499876
chr1_30184790_30184805	80.73049993077248	4.485027773931803
chr17_60602082_60602097	76.24547215684065	177.906101699295
chr12_120229365_120229380	38.870240707408946	17.94011109572721
chr3_50610730_50610745	35.880222191454415	58.30536106111343
chr19_18157338_18157353	14.950092579772676	11.96007406381814
chr6_37240389_37240404	77.74048141481794	29.90018515954535
chr14_24425886_24425901	80.73049993077247	20.930129611681743
chr1_234523771_234523786	53.82033328718161	26.910166643590813
chrX_13647790_13647805	68.77042586695431	13.455083321795408
chr7_76303499_76303514	14.950092579772676	16.445101837749945
chr6_37103470_37103485	152.49094431368138	16.445101837749945
chr22_22651771_22651786	53.82033328718161	37.37523144943168
chr13_67224392_67224407	68.77042586695433	11.96007406381814
chr6_13395521_13395536	77.74048141481795	10.465064805840873
chr1_224204960_224204975	56.81035180313615	10.465064805840873
chr1_40634234_40634249	28.405175901568086	17.94011109572721
chr9_132799212_132799227	101.66062954245416	5.98003703190907
chr1_203626733_203626748	31.395194417522617	16.445101837749945
chr7_116501576_116501591	82.22550918874975	35.880222191454415
chr11_125592795_125592810	68.77042586695433	7.475046289886338
chr3_14371987_14372002	65.78040735099977	2.990018515954535
chr17_82462156_82462171	98.67061102649966	16.445101837749945
chr19_35145261_35145276	26.910166643590813	7.475046289886338
chr11_72414372_72414387	152.49094431368144	58.30536106111343
chr17_60641974_60641989	23.920148127636274	14.950092579772676
chr7_104884313_104884328	70.26543512493157	23.920148127636274
chr15_20193622_20193637	77.74048141481794	118.10573138020413
chr6_27132042_27132057	201.82624982693125	77.74048141481794
chr1_110781092_110781107	100.16562028447699	35.88022219145442
chr1_218304776_218304791	46.345286997295275	32.89020367549987
chr1_234724396_234724411	58.3053610611134	74.75046289886338
chr1_242924874_242924889	41.860259223363485	14.950092579772676
chr20_32752497_32752512	119.60074063818146	17.94011109572721
chr17_30825868_30825883	62.79038883504522	22.42513886965901
chr19_17795044_17795059	77.7404814148179	10.465064805840873
chr17_45158605_45158620	49.33530551324982	29.900185159545348
chr3_14948180_14948195	16.445101837749945	0.0
chr4_159042375_159042390	19.435120353704477	25.415157385613547
chr12_118357633_118357648	62.79038883504521	140.5308702498632
chr11_62599217_62599232	177.9061016992949	43.355268481340744
chr12_25276344_25276359	50.830314771227094	22.42513886965901
chr11_66702002_66702017	58.305361061113416	41.860259223363485
chr19_11344644_11344659	4.485027773931803	37.37523144943168
chr6_2770413_2770428	55.31534254515889	28.405175901568086
chr1_179017225_179017240	14.950092579772676	7.475046289886338
chr5_159095022_159095037	16.445101837749945	8.970055547863605
chr17_76414741_76414756	65.78040735099978	7.475046289886338
chr2_71883100_71883115	13.455083321795408	19.435120353704477
chr6_118660375_118660390	197.3412220529994	74.7504628988634
chr1_26784222_26784237	49.335305513249814	7.475046289886338
chr11_62545806_62545821	103.15563880043149	8.970055547863605
chr17_81395306_81395321	50.830314771227094	11.96007406381814
chr8_101051795_101051810	20.93012961168175	16.445101837749945
chr2_9337178_9337193	35.88022219145441	7.475046289886338
chr2_65022001_65022016	55.315342545158884	28.405175901568082
chr5_37413220_37413235	116.61072212222689	17.94011109572721
chr3_13485308_13485323	61.29537957706794	17.94011109572721
chr8_30141802_30141817	26.910166643590806	19.435120353704477
chr6_167811845_167811860	25.415157385613547	41.860259223363485
chr1_168161674_168161689	107.64066657436332	11.96007406381814
chr10_70348668_70348683	32.89020367549987	37.37523144943169
chr16_29943653_29943668	127.07578692806777	183.88613873120389
chr12_76871236_76871251	17.94011109572721	20.930129611681743
chr22_35478092_35478107	22.425138869659015	1.4950092579772676
chr2_69818447_69818462	31.39519441752261	25.415157385613547
chr17_33874710_33874725	86.71053696268156	29.900185159545345
chr1_191823841_191823856	31.39519441752261	50.83031477122707
chr16_85535739_85535754	17.94011109572721	68.7704258669543
chr3_196127798_196127813	31.395194417522617	10.465064805840873
chr20_47360712_47360727	70.26543512493156	31.395194417522617
chr6_109349677_109349692	37.37523144943167	34.38521293347715
chr17_75096310_75096325	17.94011109572721	11.96007406381814
chr10_11686023_11686038	26.910166643590806	5.98003703190907
chr9_38227170_38227185	13.455083321795408	1.4950092579772676
chr7_135491048_135491063	17.94011109572721	40.36524996538621
chr3_45665352_45665367	29.900185159545337	8.970055547863605
chr16_88238929_88238944	32.89020367549988	7.475046289886338
chr11_13105480_13105495	62.79038883504522	13.455083321795408
chr9_94157175_94157190	31.395194417522617	17.94011109572721
chr5_146111655_146111670	74.75046289886338	11.96007406381814
chr2_240604540_240604555	56.81035180313615	35.88022219145441
chr6_149847701_149847716	10.465064805840873	7.475046289886338
chr14_90573903_90573918	68.7704258669543	5.98003703190907
chr2_168851958_168851973	41.86025922336348	1.4950092579772676
chr11_123235260_123235275	85.21552770470424	40.36524996538622
chr15_75047246_75047261	43.35526848134075	41.86025922336349
chr1_168466306_168466321	25.415157385613547	31.39519441752261
chr12_56300021_56300036	118.10573138020418	61.29537957706793
chr12_108641234_108641249	20.930129611681743	23.92014812763628
