	Sum
M-chr8_56060283_56060317	0.0
M-chr1_156130490_156130524	0.0
M-chr10_117443050_117443084	0.0
M-chr10_49407715_49407749	0.0
M-chr12_49839186_49839220	0.0
M-chr20_43187918_43187952	0.0
M-chr4_56544704_56544738	0.0
M-chr8_33334910_33334944	0.0
M-chr11_65888619_65888653	0.0
M-chr8_22909158_22909192	0.0
M-chr12_48995587_48995621	0.0
M-chr15_89057662_89057696	0.0
M-chr17_63946936_63946970	0.0
M-chr17_74744758_74744792	0.0
M-chr17_76466139_76466173	0.0
M-chr9_136485172_136485206	0.0
M-chr16_85115076_85115110	0.0
M-chr14_24333768_24333802	0.0
M-chr19_1853491_1853525	0.0
M-chr1_119871070_119871104	0.0
M-chr1_166479218_166479252	0.0
M-chr1_231932024_231932058	0.0
M-chr1_244796996_244797030	0.0
M-chr11_102666530_102666564	0.0
M-chr11_118956692_118956726	0.0
M-chr12_13534948_13534982	0.0
M-chr12_97404720_97404754	0.0
M-chr14_21092617_21092651	0.0
M-chr19_19644013_19644047	0.0
M-chr19_2648613_2648647	0.0
M-chr19_37898835_37898869	0.0
M-chr2_30090992_30091026	0.0
M-chr3_24680652_24680686	0.0
M-chr14_55271259_55271293	0.0
M-chr1_27388575_27388609	0.0
M-chr1_31594163_31594197	0.0
M-chr1_3518358_3518392	0.0
M-chr10_72274893_72274927	0.0
M-chr17_76299319_76299353	0.0
M-chr2_241878169_241878203	0.0
M-chr22_44081349_44081383	0.0
M-chr3_136752402_136752436	0.0
M-chr5_178284244_178284278	0.0
M-chr9_112844838_112844872	0.0
M-chr11_122754722_122754756	0.0
M-chr11_65112656_65112690	0.0
M-chr17_59521649_59521683	0.0
M-chr6_16169097_16169131	0.0
M-chr8_15378452_15378486	0.0
M-chr14_20855864_20855898	0.0
M-chr4_10538160_10538194	0.0
M-chr6_40587672_40587706	0.0
M-chr10_80699670_80699704	0.0
M-chr2_97700332_97700366	0.0
M-chr9_122125317_122125351	0.0
M-chr19_42296216_42296250	0.0
M-chr1_46406495_46406529	0.0
M-chr10_132453301_132453335	0.0
M-chr9_131393951_131393985	0.0
M-chr11_72793820_72793854	0.0
M-chr8_28324480_28324514	0.0
M-chr1_247390256_247390290	0.0
M-chr1_150561059_150561093	0.0
M-chr1_179002856_179002890	0.0
M-chr11_67993942_67993976	0.0
M-chr12_7109315_7109349	0.0
M-chr14_100851297_100851331	0.0
M-chr14_104723707_104723741	0.0
M-chr14_22986726_22986760	0.0
M-chr14_75307954_75307988	0.0
M-chr16_10918923_10918957	0.0
M-chr16_20300641_20300675	0.0
M-chr16_67155520_67155554	0.0
M-chr17_18960970_18961004	0.0
M-chr18_5023497_5023531	0.0
M-chr19_12777715_12777749	0.0
M-chr19_42108700_42108734	0.0
M-chr19_55467941_55467975	0.0
M-chr2_177263633_177263667	0.0
M-chr2_219294672_219294706	0.0
M-chr2_72993237_72993271	0.0
M-chr2_73163935_73163969	0.0
M-chr20_31503293_31503327	0.0
M-chr20_50478410_50478444	0.0
M-chr20_54199819_54199853	0.0
M-chr22_37817774_37817808	0.0
M-chr22_39170942_39170976	0.0
M-chr5_170623739_170623773	0.0
M-chr7_99979919_99979953	0.0
M-chr8_123022583_123022617	0.0
M-chr8_17577025_17577059	0.0
M-chr8_6572399_6572433	0.0
M-chr9_129726757_129726791	0.0
M-chr9_93682305_93682339	0.0
M-chrX_102863910_102863944	0.0
M-chrX_19739828_19739862	0.0
M-chr15_90143300_90143334	0.0
M-chr1_50368607_50368641	0.0
M-chr14_99947052_99947086	0.0
M-chr12_119667728_119667762	0.0
M-chr2_43106100_43106134	0.0
M-chr1_156584191_156584225	0.0
M-chr1_204747011_204747045	0.0
M-chr2_240143956_240143990	0.0
M-chr22_17058371_17058405	0.0
M-chr1_10942131_10942165	0.0
M-chr10_58531268_58531302	0.0
M-chr5_135466261_135466295	0.0
M-chr5_154610511_154610545	0.0
M-chr8_4837958_4837992	0.0
M-chr12_117854587_117854621	0.0
M-chr17_62066112_62066146	0.0
M-chr2_26330192_26330226	0.0
M-chr20_36156799_36156833	0.0
M-chr5_134146007_134146041	0.0
M-chr8_10425338_10425372	0.0
M-chr8_22695805_22695839	0.0
M-chr9_136791823_136791857	0.0
M-chr1_152001896_152001930	0.0
M-chr10_100743760_100743794	0.0
M-chr14_106006187_106006221	0.0
M-chr14_65961177_65961211	0.0
M-chr16_77971743_77971777	0.0
M-chr17_7990337_7990371	0.0
M-chr18_48676936_48676970	0.0
M-chr19_34121201_34121235	0.0
M-chr20_62382891_62382925	0.0
M-chr5_68252844_68252878	0.0
M-chr7_76359440_76359474	0.0
M-chr17_78251022_78251056	0.0
M-chr12_2885411_2885445	0.0
M-chr16_88743941_88743975	0.0
M-chr1_152533514_152533548	0.0
M-chr1_37434463_37434497	0.0
M-chr13_114226913_114226947	0.0
M-chr19_43594821_43594855	0.0
M-chr3_133927723_133927757	0.0
M-chr3_196196790_196196824	0.0
M-chr16_57519932_57519966	0.0
M-chr17_49408147_49408181	0.0
M-chr11_18764448_18764482	0.0
M-chr12_44948930_44948964	0.0
M-chr19_8253166_8253200	0.0
M-chr22_33579648_33579682	0.0
M-chr9_136758527_136758561	0.0
M-chr9_33466799_33466833	0.0
M-chr17_4215504_4215538	0.0
M-chr22_31977336_31977370	0.0
M-chr1_94854549_94854583	0.0
M-chr11_11266191_11266225	0.0
M-chr11_45371362_45371396	0.0
M-chr12_10674327_10674361	0.0
M-chr15_38564169_38564203	0.0
M-chr15_82108651_82108685	0.0
M-chr17_78993315_78993349	0.0
M-chr19_49470484_49470518	0.0
M-chr2_172465904_172465938	0.0
M-chr2_24825206_24825240	0.0
M-chr4_75573812_75573846	0.0
M-chr5_113379121_113379155	0.0
M-chr6_135162838_135162872	0.0
M-chr8_143379803_143379837	0.0
M-chr1_160101137_160101171	0.0
M-chr10_87343201_87343235	0.0
M-chr19_40634692_40634726	0.0
