,Location,NFIA-Nuc_engagement
chr5_10761323_10761338,random orientated upstream,0
chr1_6625094_6625109,random orientated upstream,0
chr19_1074854_1074869,random orientated upstream,0
chr5_16936381_16936396,random orientated upstream,0
chr10_22325705_22325720,random orientated upstream,0
chr3_39153668_39153683,random orientated upstream,0
chrX_40109131_40109146,random orientated upstream,0
chr16_715797_715812,random orientated upstream,0
chr17_82236428_82236443,random orientated upstream,0
chr16_71409213_71409228,random orientated upstream,0
chr8_143188950_143188965,random orientated upstream,0
chr9_31825887_31825902,random orientated upstream,0
chr9_38592016_38592031,random orientated upstream,0
chr1_148172186_148172201,random orientated upstream,0
chr12_51590747_51590762,random orientated upstream,0
chr1_162630789_162630804,random orientated upstream,0
chr8_98165937_98165952,random orientated upstream,0
chr13_18568190_18568205,random orientated upstream,0
chr16_57235349_57235364,random orientated upstream,0
chr7_119967436_119967451,random orientated upstream,0
chr19_15672961_15672976,random orientated upstream,0
chr2_48715498_48715513,random orientated upstream,0
chr22_40009649_40009664,random orientated upstream,0
chr20_56555135_56555150,random orientated upstream,0
chr10_84523687_84523702,random orientated upstream,0
chr13_27341849_27341864,random orientated upstream,0
chr3_185900358_185900373,random orientated upstream,0
chr4_186910534_186910549,random orientated upstream,0
chr9_35318942_35318957,random orientated upstream,0
chrX_17547794_17547809,random orientated upstream,0
chr19_2607939_2607954,random orientated upstream,0
chr3_45737464_45737479,random orientated upstream,0
chr3_9788035_9788050,random orientated upstream,0
chr4_1346733_1346748,random orientated upstream,0
chr1_109365846_109365861,random orientated upstream,0
chr17_28743590_28743605,random orientated upstream,0
chr3_100339094_100339109,random orientated upstream,0
chr4_146275629_146275644,random orientated upstream,0
chr5_142845703_142845718,random orientated upstream,0
chr7_119783992_119784007,random orientated upstream,0
chrX_150767254_150767269,random orientated upstream,0
chr1_42974988_42975003,random orientated upstream,0
chr17_44602568_44602583,random orientated upstream,0
chr3_193241146_193241161,random orientated upstream,0
chr12_45285852_45285867,random orientated upstream,0
chr14_64218525_64218540,random orientated upstream,0
chrX_45295778_45295793,random orientated upstream,0
chr10_120456872_120456887,random orientated upstream,0
chr17_49249595_49249610,random orientated upstream,0
chr19_12547670_12547685,random orientated upstream,0
chr6_139344381_139344396,random orientated upstream,0
chr9_37447366_37447381,random orientated upstream,0
chr10_33273505_33273520,random orientated upstream,0
chr19_39936424_39936439,random orientated upstream,0
chr19_49802478_49802493,random orientated upstream,0
chr6_4345741_4345756,random orientated upstream,0
