2025-07-03 02:09:50.087
SEM_-_BI_CTCFKO_hg38.bam
Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
chr1	248956422	3475220.0	0.0
chr10	133797422	1924351.0	0.0
chr11	135086622	1904721.0	0.0
chr11_KI270721v1_random	100316	281.0	0.0
chr12	133275309	1975255.0	0.0
chr13	114364328	1620538.0	0.0
chr14	107043718	1313796.0	0.0
chr14_GL000009v2_random	201709	3268.0	0.0
chr14_GL000225v1_random	211173	9001.0	0.0
chr14_KI270722v1_random	194050	2436.0	0.0
chr14_GL000194v1_random	191469	2625.0	0.0
chr14_KI270723v1_random	38115	495.0	0.0
chr14_KI270724v1_random	39555	526.0	0.0
chr14_KI270725v1_random	172810	2429.0	0.0
chr14_KI270726v1_random	43739	168.0	0.0
chr15	101991189	1201788.0	0.0
chr15_KI270727v1_random	448248	3657.0	0.0
chr16	90338345	1133957.0	0.0
chr16_KI270728v1_random	1872759	17482.0	0.0
chr17	83257441	1133145.0	0.0
chr17_GL000205v2_random	185591	4616.0	0.0
chr17_KI270729v1_random	280839	12515.0	0.0
chr17_KI270730v1_random	112551	2794.0	0.0
chr18	80373285	1398395.0	0.0
chr19	58617616	784435.0	0.0
chr1_KI270706v1_random	175055	2638.0	0.0
chr1_KI270707v1_random	32032	402.0	0.0
chr1_KI270708v1_random	127682	1246.0	0.0
chr1_KI270709v1_random	66860	5479.0	0.0
chr1_KI270710v1_random	40176	568.0	0.0
chr1_KI270711v1_random	42210	1273.0	0.0
chr1_KI270712v1_random	176043	2147.0	0.0
chr1_KI270713v1_random	40745	1192.0	0.0
chr1_KI270714v1_random	41717	570.0	0.0
chr2	242193529	3606693.0	0.0
chr20	64444167	970731.0	0.0
chr21	46709983	591889.0	0.0
chr22	50818468	504745.0	0.0
chr22_KI270731v1_random	150754	1129.0	0.0
chr22_KI270732v1_random	41543	885.0	0.0
chr22_KI270733v1_random	179772	12007.0	0.0
chr22_KI270734v1_random	165050	1319.0	0.0
chr22_KI270735v1_random	42811	1571.0	0.0
chr22_KI270736v1_random	181920	4278.0	0.0
chr22_KI270737v1_random	103838	2539.0	0.0
chr22_KI270738v1_random	99375	2211.0	0.0
chr22_KI270739v1_random	73985	838.0	0.0
chr2_KI270715v1_random	161471	1948.0	0.0
chr2_KI270716v1_random	153799	2129.0	0.0
chr3	198295559	2978337.0	0.0
chr3_GL000221v1_random	155397	3082.0	0.0
chr4	190214555	2852384.0	0.0
chr4_GL000008v2_random	209709	4080.0	0.0
chr5	181538259	2678070.0	0.0
chr5_GL000208v1_random	92689	1336.0	0.0
chr6	170805979	2510779.0	0.0
chr7	159345973	2120535.0	0.0
chr8	145138636	3002968.0	0.0
chr9	138394717	1773227.0	0.0
chr9_KI270717v1_random	40062	449.0	0.0
chr9_KI270718v1_random	38054	724.0	0.0
chr9_KI270719v1_random	176845	3616.0	0.0
chr9_KI270720v1_random	39050	815.0	0.0
chr1_KI270762v1_alt	354444	1137.0	0.0
chr1_KI270766v1_alt	256271	1378.0	0.0
chr1_KI270760v1_alt	109528	568.0	0.0
chr1_KI270765v1_alt	185285	2155.0	0.0
chr1_GL383518v1_alt	182439	1601.0	0.0
chr1_GL383519v1_alt	110268	818.0	0.0
chr1_GL383520v2_alt	366580	3611.0	0.0
chr1_KI270764v1_alt	50258	337.0	0.0
chr1_KI270763v1_alt	911658	8057.0	0.0
chr1_KI270759v1_alt	425601	2929.0	0.0
chr1_KI270761v1_alt	165834	899.0	0.0
chr2_KI270770v1_alt	136240	710.0	0.0
chr2_KI270773v1_alt	70887	412.0	0.0
chr2_KI270774v1_alt	223625	1232.0	0.0
chr2_KI270769v1_alt	120616	680.0	0.0
chr2_GL383521v1_alt	143390	1253.0	0.0
chr2_KI270772v1_alt	133041	3248.0	0.0
chr2_KI270775v1_alt	138019	958.0	0.0
chr2_KI270771v1_alt	110395	672.0	0.0
chr2_KI270768v1_alt	110099	929.0	0.0
chr2_GL582966v2_alt	96131	783.0	0.0
chr2_GL383522v1_alt	123821	1118.0	0.0
chr2_KI270776v1_alt	174166	818.0	0.0
chr2_KI270767v1_alt	161578	730.0	0.0
chr3_JH636055v2_alt	173151	1250.0	0.0
chr3_KI270783v1_alt	109187	848.0	0.0
chr3_KI270780v1_alt	224108	1528.0	0.0
chr3_GL383526v1_alt	180671	1702.0	0.0
chr3_KI270777v1_alt	173649	1394.0	0.0
chr3_KI270778v1_alt	248252	1881.0	0.0
chr3_KI270781v1_alt	113034	982.0	0.0
chr3_KI270779v1_alt	205312	638.0	0.0
chr3_KI270782v1_alt	162429	1034.0	0.0
chr3_KI270784v1_alt	184404	1471.0	0.0
chr4_KI270790v1_alt	220246	1354.0	0.0
chr4_GL383528v1_alt	376187	2820.0	0.0
chr4_KI270787v1_alt	111943	1009.0	0.0
chr4_GL000257v2_alt	586476	4646.0	0.0
chr4_KI270788v1_alt	158965	1231.0	0.0
chr4_GL383527v1_alt	164536	1278.0	0.0
chr4_KI270785v1_alt	119912	734.0	0.0
chr4_KI270789v1_alt	205944	1207.0	0.0
chr4_KI270786v1_alt	244096	782.0	0.0
chr5_KI270793v1_alt	126136	602.0	0.0
chr5_KI270792v1_alt	179043	744.0	0.0
chr5_KI270791v1_alt	195710	855.0	0.0
chr5_GL383532v1_alt	82728	654.0	0.0
chr5_GL949742v1_alt	226852	1918.0	0.0
chr5_KI270794v1_alt	164558	1087.0	0.0
chr5_GL339449v2_alt	1612928	12835.0	0.0
chr5_GL383530v1_alt	101241	1015.0	0.0
chr5_KI270796v1_alt	172708	1236.0	0.0
chr5_GL383531v1_alt	173459	1516.0	0.0
chr5_KI270795v1_alt	131892	960.0	0.0
chr6_GL000250v2_alt	4672374	5772.0	0.0
chr6_KI270800v1_alt	175808	1287.0	0.0
chr6_KI270799v1_alt	152148	1335.0	0.0
chr6_GL383533v1_alt	124736	992.0	0.0
chr6_KI270801v1_alt	870480	6570.0	0.0
chr6_KI270802v1_alt	75005	431.0	0.0
chr6_KB021644v2_alt	185823	812.0	0.0
chr6_KI270797v1_alt	197536	1210.0	0.0
chr6_KI270798v1_alt	271782	1592.0	0.0
chr7_KI270804v1_alt	157952	329.0	0.0
chr7_KI270809v1_alt	209586	2415.0	0.0
chr7_KI270806v1_alt	158166	1606.0	0.0
chr7_GL383534v2_alt	119183	835.0	0.0
chr7_KI270803v1_alt	1111570	8164.0	0.0
chr7_KI270808v1_alt	271455	2124.0	0.0
chr7_KI270807v1_alt	126434	344.0	0.0
chr7_KI270805v1_alt	209988	837.0	0.0
chr8_KI270818v1_alt	145606	1018.0	0.0
chr8_KI270812v1_alt	282736	1727.0	0.0
chr8_KI270811v1_alt	292436	1320.0	0.0
chr8_KI270821v1_alt	985506	8369.0	0.0
chr8_KI270813v1_alt	300230	4061.0	0.0
chr8_KI270822v1_alt	624492	7788.0	0.0
chr8_KI270814v1_alt	141812	1338.0	0.0
chr8_KI270810v1_alt	374415	4786.0	0.0
chr8_KI270819v1_alt	133535	769.0	0.0
chr8_KI270820v1_alt	36640	138.0	0.0
chr8_KI270817v1_alt	158983	996.0	0.0
chr8_KI270816v1_alt	305841	1921.0	0.0
chr8_KI270815v1_alt	132244	1288.0	0.0
chr9_GL383539v1_alt	162988	1039.0	0.0
chr9_GL383540v1_alt	71551	478.0	0.0
chr9_GL383541v1_alt	171286	1301.0	0.0
chr9_GL383542v1_alt	60032	517.0	0.0
chr9_KI270823v1_alt	439082	2891.0	0.0
chr10_GL383545v1_alt	179254	1387.0	0.0
chr10_KI270824v1_alt	181496	1941.0	0.0
chr10_GL383546v1_alt	309802	2219.0	0.0
chr10_KI270825v1_alt	188315	1038.0	0.0
chr11_KI270832v1_alt	210133	1297.0	0.0
chr11_KI270830v1_alt	177092	634.0	0.0
chr11_KI270831v1_alt	296895	1591.0	0.0
chr11_KI270829v1_alt	204059	1809.0	0.0
chr11_GL383547v1_alt	154407	1173.0	0.0
chr11_JH159136v1_alt	200998	1430.0	0.0
chr11_JH159137v1_alt	191409	1573.0	0.0
chr11_KI270827v1_alt	67707	331.0	0.0
chr11_KI270826v1_alt	186169	814.0	0.0
chr12_GL877875v1_alt	167313	1429.0	0.0
chr12_GL877876v1_alt	408271	2792.0	0.0
chr12_KI270837v1_alt	40090	232.0	0.0
chr12_GL383549v1_alt	120804	956.0	0.0
chr12_KI270835v1_alt	238139	2004.0	0.0
chr12_GL383550v2_alt	169178	1622.0	0.0
chr12_GL383552v1_alt	138655	1020.0	0.0
chr12_GL383553v2_alt	152874	1132.0	0.0
chr12_KI270834v1_alt	119498	751.0	0.0
chr12_GL383551v1_alt	184319	1224.0	0.0
chr12_KI270833v1_alt	76061	321.0	0.0
chr12_KI270836v1_alt	56134	187.0	0.0
chr13_KI270840v1_alt	191684	1143.0	0.0
chr13_KI270839v1_alt	180306	1418.0	0.0
chr13_KI270843v1_alt	103832	736.0	0.0
chr13_KI270841v1_alt	169134	1318.0	0.0
chr13_KI270838v1_alt	306913	1581.0	0.0
chr13_KI270842v1_alt	37287	181.0	0.0
chr14_KI270844v1_alt	322166	2787.0	0.0
chr14_KI270847v1_alt	1511111	10542.0	0.0
chr14_KI270845v1_alt	180703	904.0	0.0
chr14_KI270846v1_alt	1351393	10536.0	0.0
chr15_KI270852v1_alt	478999	4289.0	0.0
chr15_KI270851v1_alt	263054	1849.0	0.0
chr15_KI270848v1_alt	327382	2122.0	0.0
chr15_GL383554v1_alt	296527	1792.0	0.0
chr15_KI270849v1_alt	244917	2225.0	0.0
chr15_GL383555v2_alt	388773	2296.0	0.0
chr15_KI270850v1_alt	430880	3535.0	0.0
chr16_KI270854v1_alt	134193	772.0	0.0
chr16_KI270856v1_alt	63982	441.0	0.0
chr16_KI270855v1_alt	232857	1594.0	0.0
chr16_KI270853v1_alt	2659700	21714.0	0.0
chr16_GL383556v1_alt	192462	1173.0	0.0
chr16_GL383557v1_alt	89672	876.0	0.0
chr17_GL383563v3_alt	375691	1963.0	0.0
chr17_KI270862v1_alt	391357	2649.0	0.0
chr17_KI270861v1_alt	196688	1572.0	0.0
chr17_KI270857v1_alt	2877074	21095.0	0.0
chr17_JH159146v1_alt	278131	2142.0	0.0
chr17_JH159147v1_alt	70345	456.0	0.0
chr17_GL383564v2_alt	133151	755.0	0.0
chr17_GL000258v2_alt	1821992	9135.0	0.0
chr17_GL383565v1_alt	223995	1762.0	0.0
chr17_KI270858v1_alt	235827	1616.0	0.0
chr17_KI270859v1_alt	108763	729.0	0.0
chr17_GL383566v1_alt	90219	579.0	0.0
chr17_KI270860v1_alt	178921	952.0	0.0
chr18_KI270864v1_alt	111737	1120.0	0.0
chr18_GL383567v1_alt	289831	2827.0	0.0
chr18_GL383570v1_alt	164789	1452.0	0.0
chr18_GL383571v1_alt	198278	1815.0	0.0
chr18_GL383568v1_alt	104552	984.0	0.0
chr18_GL383569v1_alt	167950	525.0	0.0
chr18_GL383572v1_alt	159547	704.0	0.0
chr18_KI270863v1_alt	167999	978.0	0.0
chr19_KI270868v1_alt	61734	434.0	0.0
chr19_KI270865v1_alt	52969	209.0	0.0
chr19_GL383573v1_alt	385657	2683.0	0.0
chr19_GL383575v2_alt	170222	1190.0	0.0
chr19_GL383576v1_alt	188024	1208.0	0.0
chr19_GL383574v1_alt	155864	1613.0	0.0
chr19_KI270866v1_alt	43156	363.0	0.0
chr19_KI270867v1_alt	233762	1710.0	0.0
chr19_GL949746v1_alt	987716	2130.0	0.0
chr20_GL383577v2_alt	128386	948.0	0.0
chr20_KI270869v1_alt	118774	441.0	0.0
chr20_KI270871v1_alt	58661	230.0	0.0
chr20_KI270870v1_alt	183433	865.0	0.0
chr21_GL383578v2_alt	63917	679.0	0.0
chr21_KI270874v1_alt	166743	1347.0	0.0
chr21_KI270873v1_alt	143900	1183.0	0.0
chr21_GL383579v2_alt	201197	1427.0	0.0
chr21_GL383580v2_alt	74653	689.0	0.0
chr21_GL383581v2_alt	116689	1168.0	0.0
chr21_KI270872v1_alt	82692	390.0	0.0
chr22_KI270875v1_alt	259914	2409.0	0.0
chr22_KI270878v1_alt	186262	1280.0	0.0
chr22_KI270879v1_alt	304135	2363.0	0.0
chr22_KI270876v1_alt	263666	2417.0	0.0
chr22_KI270877v1_alt	101331	609.0	0.0
chr22_GL383583v2_alt	96924	618.0	0.0
chr22_GL383582v2_alt	162811	749.0	0.0
chrX_KI270880v1_alt	284869	1024.0	0.0
chrX_KI270881v1_alt	144206	782.0	0.0
chr19_KI270882v1_alt	248807	113.0	0.0
chr19_KI270883v1_alt	170399	62.0	0.0
chr19_KI270884v1_alt	157053	55.0	0.0
chr19_KI270885v1_alt	171027	58.0	0.0
chr19_KI270886v1_alt	204239	71.0	0.0
chr19_KI270887v1_alt	209512	117.0	0.0
chr19_KI270888v1_alt	155532	70.0	0.0
chr19_KI270889v1_alt	170698	68.0	0.0
chr19_KI270890v1_alt	184499	64.0	0.0
chr19_KI270891v1_alt	170680	68.0	0.0
chr1_KI270892v1_alt	162212	918.0	0.0
chr2_KI270894v1_alt	214158	3699.0	0.0
chr2_KI270893v1_alt	161218	707.0	0.0
chr3_KI270895v1_alt	162896	488.0	0.0
chr4_KI270896v1_alt	378547	2291.0	0.0
chr5_KI270897v1_alt	1144418	9001.0	0.0
chr5_KI270898v1_alt	130957	706.0	0.0
chr6_GL000251v2_alt	4795265	16149.0	0.0
chr7_KI270899v1_alt	190869	608.0	0.0
chr8_KI270901v1_alt	136959	839.0	0.0
chr8_KI270900v1_alt	318687	1445.0	0.0
chr11_KI270902v1_alt	106711	383.0	0.0
chr11_KI270903v1_alt	214625	1043.0	0.0
chr12_KI270904v1_alt	572349	3928.0	0.0
chr15_KI270906v1_alt	196384	1077.0	0.0
chr15_KI270905v1_alt	5161414	36130.0	0.0
chr17_KI270907v1_alt	137721	685.0	0.0
chr17_KI270910v1_alt	157099	725.0	0.0
chr17_KI270909v1_alt	325800	1315.0	0.0
chr17_JH159148v1_alt	88070	483.0	0.0
chr17_KI270908v1_alt	1423190	8785.0	0.0
chr18_KI270912v1_alt	174061	630.0	0.0
chr18_KI270911v1_alt	157710	748.0	0.0
chr19_GL949747v2_alt	729520	1308.0	0.0
chr22_KB663609v1_alt	74013	238.0	0.0
chrX_KI270913v1_alt	274009	840.0	0.0
chr19_KI270914v1_alt	205194	65.0	0.0
chr19_KI270915v1_alt	170665	79.0	0.0
chr19_KI270916v1_alt	184516	79.0	0.0
chr19_KI270917v1_alt	190932	123.0	0.0
chr19_KI270918v1_alt	123111	50.0	0.0
chr19_KI270919v1_alt	170701	64.0	0.0
chr19_KI270920v1_alt	198005	147.0	0.0
chr19_KI270921v1_alt	282224	167.0	0.0
chr19_KI270922v1_alt	187935	119.0	0.0
chr19_KI270923v1_alt	189352	136.0	0.0
chr3_KI270924v1_alt	166540	442.0	0.0
chr4_KI270925v1_alt	555799	2756.0	0.0
chr6_GL000252v2_alt	4604811	11460.0	0.0
