	Sum
M-chr8_56060283_56060317	2896.0187880887975
M-chr1_156130490_156130524	3516.594242679254
M-chr10_117443050_117443084	2482.3018183618265
M-chr10_49407715_49407749	1448.009394044399
M-chr12_49839186_49839220	1448.0093940443987
M-chr20_43187918_43187952	1448.0093940443987
M-chr4_56544704_56544738	1861.7263637713697
M-chr8_33334910_33334944	1448.009394044399
M-chr11_65888619_65888653	2689.160303225312
M-chr8_22909158_22909192	2275.443333498341
M-chr12_48995587_48995621	1654.8678789078845
M-chr15_89057662_89057696	2482.3018183618265
M-chr17_63946936_63946970	2275.443333498341
M-chr17_74744758_74744792	2068.5848486348555
M-chr17_76466139_76466173	2482.301818361827
M-chr9_136485172_136485206	1861.7263637713697
M-chr16_85115076_85115110	3102.877272952283
M-chr14_24333768_24333802	2275.443333498341
M-chr19_1853491_1853525	1861.7263637713697
M-chr1_119871070_119871104	1448.0093940443987
M-chr1_166479218_166479252	1034.2924243174277
M-chr1_231932024_231932058	1034.2924243174277
M-chr1_244796996_244797030	1034.2924243174277
M-chr11_102666530_102666564	1034.2924243174277
M-chr11_118956692_118956726	1448.0093940443987
M-chr12_13534948_13534982	1241.1509091809132
M-chr12_97404720_97404754	1034.2924243174277
M-chr14_21092617_21092651	8067.480909675936
M-chr19_19644013_19644047	1448.0093940443987
M-chr19_2648613_2648647	1034.292424317428
M-chr19_37898835_37898869	1034.2924243174277
M-chr2_30090992_30091026	1034.2924243174277
M-chr3_24680652_24680686	1034.2924243174277
M-chr14_55271259_55271293	3516.594242679254
M-chr1_27388575_27388609	1241.1509091809132
M-chr1_31594163_31594197	1241.1509091809132
M-chr1_3518358_3518392	1448.0093940443987
M-chr10_72274893_72274927	1448.0093940443987
M-chr17_76299319_76299353	1241.1509091809132
M-chr2_241878169_241878203	1861.7263637713697
M-chr22_44081349_44081383	1448.0093940443987
M-chr3_136752402_136752436	1654.8678789078842
M-chr5_178284244_178284278	2689.160303225312
M-chr9_112844838_112844872	2896.0187880887975
M-chr11_122754722_122754756	1448.0093940443987
M-chr11_65112656_65112690	1654.8678789078842
M-chr17_59521649_59521683	1448.0093940443987
M-chr6_16169097_16169131	1448.009394044399
M-chr8_15378452_15378486	1654.8678789078842
M-chr14_20855864_20855898	1654.8678789078842
M-chr4_10538160_10538194	1654.8678789078842
M-chr6_40587672_40587706	1654.8678789078842
M-chr10_80699670_80699704	2275.443333498341
M-chr2_97700332_97700366	1861.7263637713697
M-chr9_122125317_122125351	1861.72636377137
M-chr19_42296216_42296250	2275.443333498341
M-chr1_46406495_46406529	2275.443333498341
M-chr10_132453301_132453335	2275.443333498341
M-chr9_131393951_131393985	2482.3018183618265
M-chr11_72793820_72793854	2896.0187880887975
