	Sum
M-chr14_69818857_69818891	6883.706966739764
M-chr1_203267422_203267456	8317.812584810543
M-chr17_33779272_33779306	6118.850637102011
M-chr20_50071438_50071472	12620.129439022894
M-chr3_194315836_194315870	7744.17033758223
M-chr6_1596410_1596444	8604.633708424702
M-chr7_101077758_101077792	7266.135131558636
M-chr4_113394872_113394906	4684.745019031226
M-chr2_41840821_41840855	6788.099925535045
M-chr13_26698863_26698897	24188.581424793883
M-chr12_8890736_8890770	6596.885843125606
M-chr1_162848012_162848046	11472.844944566272
M-chr3_126522438_126522472	8030.991461196389
M-chr16_18969458_18969492	5449.601348668979
M-chr3_98023411_98023445	6883.706966739761
M-chr3_192444690_192444724	7744.170337582234
M-chr15_98519237_98519271	7839.77737878695
M-chr13_30132704_30132738	10899.202697337956
M-chr22_20157151_20157185	10421.167491314367
M-chr11_2532934_2532968	7744.170337582232
M-chr2_64917788_64917822	8795.847790834143
M-chr2_69724804_69724838	8700.240749629422
M-chr3_115784661_115784695	11568.451985770993
M-chr5_160345512_160345546	5258.387266259539
M-chr11_85854995_85855029	7170.528090353922
M-chr3_16247477_16247511	7074.9210491491995
M-chr1_87131889_87131923	5640.815431078417
M-chr13_25287535_25287569	15679.5547575739
M-chr16_75199482_75199516	5640.8154310784175
M-chr18_839509_839543	9943.13228529077
M-chr12_125183307_125183341	14723.484345526718
M-chr2_231056544_231056578	5640.8154310784175
M-chr3_102229222_102229256	5258.3872662595395
M-chr11_73335628_73335662	15488.340675164467
M-chr1_20493963_20493997	8126.598502401108
M-chr1_221203641_221203675	11377.237903361553
M-chr12_8544393_8544427	6118.850637102011
M-chr2_73177485_73177519	7361.742172763356
M-chr8_8750868_8750902	8317.812584810545
M-chr2_231906237_231906271	9847.525244086048
M-chr10_15585411_15585445	6501.278801920885
M-chr8_41528966_41529000	18738.980076124913
M-chr7_101688474_101688508	17018.05333443997
M-chr2_42859119_42859153	7935.384419991669
M-chr1_26036111_26036145	13671.806892274812
M-chr19_6632187_6632221	6214.457678306727
M-chr6_38494128_38494162	6596.885843125607
M-chr15_89430870_89430904	16157.589963597502
M-chr9_128203305_128203339	8317.812584810548
M-chr8_73174463_73174497	9847.525244086051
M-chr5_177390654_177390688	7361.742172763359
M-chr5_21459362_21459396	9178.275955653018
M-chr19_2474707_2474741	7170.5280903539215
M-chr2_234545101_234545135	6692.492884330323
M-chr12_7860084_7860118	7457.349213968076
M-chr3_184544148_184544182	5449.601348668978
M-chr14_104078098_104078132	17018.053334439966
M-chr17_28727026_28727060	12715.736480227613
M-chr2_84927181_84927215	6596.885843125604
M-chr1_167059322_167059356	11759.66606818043
M-chr12_106136358_106136392	6405.671760716166
M-chr18_72762695_72762729	4971.5661426453835
M-chr22_30387499_30387533	10516.774532519084
M-chrX_27186867_27186901	5353.994307464259
M-chr2_218898398_218898432	10038.739326495488
M-chr9_126781949_126781983	9178.275955653018
M-chr20_40963158_40963192	6596.885843125606
M-chr5_88141655_88141689	6310.064719511449
M-chr4_173013609_173013643	6214.4576783067305
M-chr3_38651380_38651414	13671.806892274806
M-chr13_53151978_53152012	11664.059026975707
M-chr3_113051364_113051398	8891.454832038862
M-chr9_37913755_37913789	10516.774532519083
M-chr12_13255880_13255914	12333.30831540874
M-chr8_69942502_69942536	10229.953408904923
M-chr2_25129385_25129419	6979.31400794448
M-chr19_47349125_47349159	6501.278801920886
M-chr14_51979272_51979306	6501.278801920887
M-chr11_12282020_12282054	7552.956255172795
M-chr11_62906119_62906153	15870.76883998334
M-chr2_232440724_232440758	7935.384419991672
M-chr14_96741595_96741629	7839.777378786955
M-chr2_64331024_64331058	5449.601348668976
M-chr15_101641343_101641377	6118.850637102011
M-chr17_72540501_72540535	7552.956255172793
M-chr2_9142875_9142909	7361.742172763358
M-chr3_100590733_100590767	5162.78022505482
M-chr9_117644818_117644852	4971.5661426453835
M-chr12_48618628_48618662	7648.5632963775115
M-chr12_62794152_62794186	6214.45767830673
M-chr19_50783746_50783780	5067.173183850102
M-chr7_132318901_132318935	6979.314007944479
M-chr2_88001995_88002029	12428.91535661346
M-chr6_72412331_72412365	17304.874458054135
M-chr5_178164353_178164387	16348.80404600694
M-chr12_48853398_48853432	4780.352060235943
M-chr1_178542648_178542682	6883.706966739763
M-chr22_45578160_45578194	8317.812584810545
M-chr14_72420929_72420963	6118.850637102011
M-chr6_149834684_149834718	5545.208389873697
M-chr19_18410776_18410810	7744.170337582234
M-chr10_77641990_77642024	6310.064719511449
M-chr16_69311273_69311307	10612.3815737238
M-chr7_103297351_103297385	7170.528090353921
M-chr20_4607399_4607433	7935.384419991674
M-chr20_50186398_50186432	8891.45483203886
M-chr3_137014057_137014091	6118.85063710201
M-chr12_58346209_58346243	6310.064719511447
M-chr20_59403881_59403915	12046.48719179459
M-chr12_54006103_54006137	7361.742172763356
M-chr17_50094422_50094456	4589.137977826506
M-chr2_36785359_36785393	16348.804046006933
M-chr2_45643809_45643843	12906.950562637048
M-chr15_74771219_74771253	11472.84494456627
M-chr4_82285347_82285381	11472.844944566275
M-chr5_132064847_132064881	13671.806892274808
M-chr6_14144779_14144813	7361.742172763357
M-chr9_126491474_126491508	6788.0999255350425
M-chr8_61139184_61139218	12906.950562637054
M-chr1_12124937_12124971	8891.45483203886
M-chr12_7995396_7995430	7266.135131558637
M-chr17_34420447_34420481	6310.064719511446
M-chr3_185977578_185977612	7266.135131558637
M-chr17_35539551_35539585	5832.0295134878525
M-chr8_26088819_26088853	5736.422472283133
M-chr9_128117745_128117779	23901.76030117973
M-chr9_99184762_99184796	5545.208389873695
M-chr12_108618282_108618316	7935.384419991673
M-chr2_102020770_102020804	6979.314007944481
M-chr17_7136418_7136452	9751.918202881336
M-chr13_48095195_48095229	10612.381573723802
M-chr3_134308533_134308567	9751.91820288133
M-chr4_38319983_38320017	17687.302622872994
M-chr10_106625020_106625054	6310.064719511452
M-chr12_38138868_38138902	6310.064719511451
M-chr11_45340182_45340216	7744.170337582234
M-chr4_153128082_153128116	5927.636554692574
M-chr10_88835780_88835814	5736.422472283134
M-chr14_36942399_36942433	5449.601348668978
M-chr11_117817899_117817933	17878.51670528244
M-chr13_30803059_30803093	7074.9210491492
M-chr15_61835675_61835709	10325.560450109644
M-chr15_79993564_79993598	5449.601348668977
M-chr2_106542919_106542953	5258.38726625954
M-chr21_23968796_23968830	4971.566142645383
M-chr11_131674135_131674169	6883.70696673976
M-chr20_267141_267175	8604.633708424704
M-chr11_117947083_117947117	6310.064719511447
M-chr1_21659260_21659294	8891.454832038862
M-chr17_8080091_8080125	7457.3492139680775
M-chr20_31613055_31613089	10994.809738542683
M-chr2_85300513_85300547	7074.921049149202
M-chr7_95916744_95916778	7266.13513155864
M-chr21_42117608_42117642	4971.5661426453835
M-chr3_123328996_123329030	11090.416779747398
M-chr3_8971143_8971177	5640.815431078414
M-chr4_189202448_189202482	8126.5985024011125
M-chr2_48420906_48420940	8891.454832038862
M-chr17_47001302_47001336	19599.443446967383
M-chr8_57343494_57343528	13767.413933479524
M-chr3_187714579_187714613	6405.671760716167
M-chr19_18251978_18252012	7361.742172763358
M-chr1_7647405_7647439	4780.352060235944
M-chr12_12916382_12916416	4875.959101440665
