	Sum
M-chr14_69818857_69818891	1.0
M-chr1_203267422_203267456	2.0
M-chr17_33779272_33779306	0.0
M-chr20_50071438_50071472	2.0
M-chr3_194315836_194315870	0.0
M-chr6_1596410_1596444	0.0
M-chr7_101077758_101077792	0.0
M-chr4_113394872_113394906	0.0
M-chr2_41840821_41840855	0.0
M-chr13_26698863_26698897	0.0
M-chr12_8890736_8890770	2.0
M-chr1_162848012_162848046	2.0
M-chr3_126522438_126522472	0.0
M-chr16_18969458_18969492	0.0
M-chr3_98023411_98023445	0.0
M-chr3_192444690_192444724	0.0
M-chr15_98519237_98519271	0.0
M-chr13_30132704_30132738	0.0
M-chr22_20157151_20157185	0.0
M-chr11_2532934_2532968	0.0
M-chr2_64917788_64917822	0.0
M-chr2_69724804_69724838	0.0
M-chr3_115784661_115784695	0.0
M-chr5_160345512_160345546	0.0
M-chr11_85854995_85855029	0.0
M-chr3_16247477_16247511	0.0
M-chr1_87131889_87131923	0.0
M-chr13_25287535_25287569	0.0
M-chr16_75199482_75199516	0.0
M-chr18_839509_839543	0.0
M-chr12_125183307_125183341	0.0
M-chr2_231056544_231056578	0.0
M-chr3_102229222_102229256	0.0
M-chr11_73335628_73335662	0.0
M-chr1_20493963_20493997	0.0
M-chr1_221203641_221203675	1.0
M-chr12_8544393_8544427	0.0
M-chr2_73177485_73177519	0.0
M-chr8_8750868_8750902	0.0
M-chr2_231906237_231906271	0.0
M-chr10_15585411_15585445	0.0
M-chr8_41528966_41529000	0.0
M-chr7_101688474_101688508	0.0
M-chr2_42859119_42859153	0.0
M-chr1_26036111_26036145	1.0
M-chr19_6632187_6632221	0.0
M-chr6_38494128_38494162	0.0
M-chr15_89430870_89430904	0.0
M-chr9_128203305_128203339	0.0
M-chr8_73174463_73174497	0.0
M-chr5_177390654_177390688	0.0
M-chr5_21459362_21459396	0.0
M-chr19_2474707_2474741	1.0
M-chr2_234545101_234545135	0.0
M-chr12_7860084_7860118	1.0
M-chr3_184544148_184544182	0.0
M-chr14_104078098_104078132	0.0
M-chr17_28727026_28727060	0.0
M-chr2_84927181_84927215	0.0
M-chr1_167059322_167059356	0.0
M-chr12_106136358_106136392	0.0
M-chr18_72762695_72762729	0.0
M-chr22_30387499_30387533	0.0
M-chrX_27186867_27186901	0.0
M-chr2_218898398_218898432	0.0
M-chr9_126781949_126781983	0.0
M-chr20_40963158_40963192	0.0
M-chr5_88141655_88141689	0.0
M-chr4_173013609_173013643	0.0
M-chr3_38651380_38651414	0.0
M-chr13_53151978_53152012	0.0
M-chr3_113051364_113051398	0.0
M-chr9_37913755_37913789	0.0
M-chr12_13255880_13255914	0.0
M-chr8_69942502_69942536	0.0
M-chr2_25129385_25129419	0.0
M-chr19_47349125_47349159	0.0
M-chr14_51979272_51979306	0.0
M-chr11_12282020_12282054	0.0
M-chr11_62906119_62906153	0.0
M-chr2_232440724_232440758	0.0
M-chr14_96741595_96741629	0.0
M-chr2_64331024_64331058	0.0
M-chr15_101641343_101641377	0.0
M-chr17_72540501_72540535	0.0
M-chr2_9142875_9142909	0.0
M-chr3_100590733_100590767	0.0
M-chr9_117644818_117644852	0.0
M-chr12_48618628_48618662	0.0
M-chr12_62794152_62794186	0.0
M-chr19_50783746_50783780	0.0
M-chr7_132318901_132318935	0.0
M-chr2_88001995_88002029	0.0
M-chr6_72412331_72412365	0.0
M-chr5_178164353_178164387	1.0
M-chr12_48853398_48853432	0.0
M-chr1_178542648_178542682	0.0
M-chr22_45578160_45578194	0.0
M-chr14_72420929_72420963	0.0
M-chr6_149834684_149834718	1.0
M-chr19_18410776_18410810	0.0
M-chr10_77641990_77642024	0.0
M-chr16_69311273_69311307	0.0
M-chr7_103297351_103297385	0.0
M-chr20_4607399_4607433	0.0
M-chr20_50186398_50186432	0.0
M-chr3_137014057_137014091	0.0
M-chr12_58346209_58346243	0.0
M-chr20_59403881_59403915	0.0
M-chr12_54006103_54006137	0.0
M-chr17_50094422_50094456	0.0
M-chr2_36785359_36785393	0.0
M-chr2_45643809_45643843	0.0
M-chr15_74771219_74771253	0.0
M-chr4_82285347_82285381	0.0
M-chr5_132064847_132064881	0.0
M-chr6_14144779_14144813	0.0
M-chr9_126491474_126491508	0.0
M-chr8_61139184_61139218	0.0
M-chr1_12124937_12124971	0.0
M-chr12_7995396_7995430	1.0
M-chr17_34420447_34420481	0.0
M-chr3_185977578_185977612	0.0
M-chr17_35539551_35539585	0.0
M-chr8_26088819_26088853	0.0
M-chr9_128117745_128117779	0.0
M-chr9_99184762_99184796	0.0
M-chr12_108618282_108618316	0.0
M-chr2_102020770_102020804	0.0
M-chr17_7136418_7136452	1.0
M-chr13_48095195_48095229	0.0
M-chr3_134308533_134308567	0.0
M-chr4_38319983_38320017	0.0
M-chr10_106625020_106625054	0.0
M-chr12_38138868_38138902	2.0
M-chr11_45340182_45340216	1.0
M-chr4_153128082_153128116	0.0
M-chr10_88835780_88835814	0.0
M-chr14_36942399_36942433	0.0
M-chr11_117817899_117817933	0.0
M-chr13_30803059_30803093	0.0
M-chr15_61835675_61835709	0.0
M-chr15_79993564_79993598	0.0
M-chr2_106542919_106542953	0.0
M-chr21_23968796_23968830	0.0
M-chr11_131674135_131674169	0.0
M-chr20_267141_267175	1.0
M-chr11_117947083_117947117	1.0
M-chr1_21659260_21659294	0.0
M-chr17_8080091_8080125	0.0
M-chr20_31613055_31613089	0.0
M-chr2_85300513_85300547	0.0
M-chr7_95916744_95916778	0.0
M-chr21_42117608_42117642	0.0
M-chr3_123328996_123329030	0.0
M-chr3_8971143_8971177	0.0
M-chr4_189202448_189202482	0.0
M-chr2_48420906_48420940	2.0
M-chr17_47001302_47001336	0.0
M-chr8_57343494_57343528	0.0
M-chr3_187714579_187714613	0.0
M-chr19_18251978_18252012	0.0
M-chr1_7647405_7647439	0.0
M-chr12_12916382_12916416	0.0
M-chr1_27044689_27044723	0.0
M-chr8_96180277_96180311	0.0
M-chr5_142655840_142655874	0.0
M-chr6_83065876_83065910	0.0
M-chr17_30093684_30093718	0.0
M-chr19_51422076_51422110	0.0
M-chr20_43749903_43749937	0.0
M-chr1_109984567_109984601	0.0
M-chr2_221573687_221573721	0.0
M-chr17_31842720_31842754	0.0
M-chr2_102840089_102840123	0.0
M-chr11_70467654_70467688	0.0
M-chr6_132530554_132530588	0.0
M-chr6_85323609_85323643	0.0
M-chr1_26321716_26321750	0.0
M-chr7_73725904_73725938	0.0
M-chr15_46312301_46312335	0.0
M-chr19_45479138_45479172	0.0
M-chr5_150458990_150459024	1.0
M-chr20_47384209_47384243	0.0
M-chr19_44770840_44770874	0.0
M-chr11_61899277_61899311	1.0
M-chr8_142634834_142634868	0.0
M-chr6_41369061_41369095	0.0
M-chr19_15177631_15177665	0.0
M-chr8_86619161_86619195	0.0
M-chr16_2023262_2023296	0.0
M-chr11_76207730_76207764	0.0
M-chr8_9065878_9065912	0.0
M-chr9_19457599_19457633	0.0
M-chr12_110431529_110431563	0.0
M-chr6_3742541_3742575	0.0
