	Sum
M-chr8_56060283_56060317	12524.522397818178
M-chr1_156130490_156130524	9751.918202881332
M-chr10_117443050_117443084	8509.026667219985
M-chr10_49407715_49407749	6692.492884330323
M-chr12_49839186_49839220	6692.492884330322
M-chr20_43187918_43187952	6788.099925535042
M-chr4_56544704_56544738	7074.9210491492
M-chr8_33334910_33334944	7074.921049149198
M-chr11_65888619_65888653	11186.023820952116
M-chr8_22909158_22909192	10803.595656133246
M-chr12_48995587_48995621	7648.563296377513
M-chr15_89057662_89057696	12237.701274204024
M-chr17_63946936_63946970	9273.882996857736
M-chr17_74744758_74744792	9082.668914448297
M-chr17_76466139_76466173	9273.882996857736
M-chr9_136485172_136485206	8030.991461196392
M-chr16_85115076_85115110	13480.592809865373
M-chr14_24333768_24333802	9178.275955653016
M-chr19_1853491_1853525	8891.45483203886
M-chr1_119871070_119871104	4875.959101440662
M-chr1_166479218_166479252	4971.5661426453835
M-chr1_231932024_231932058	6979.314007944484
M-chr1_244796996_244797030	4780.352060235945
M-chr11_102666530_102666564	4971.5661426453835
M-chr11_118956692_118956726	5640.8154310784175
M-chr12_13534948_13534982	5449.60134866898
M-chr12_97404720_97404754	5449.601348668977
M-chr14_21092617_21092651	34418.53483369882
M-chr19_19644013_19644047	6405.671760716168
M-chr19_2648613_2648647	5258.387266259541
M-chr19_37898835_37898869	4875.959101440665
M-chr2_30090992_30091026	5353.994307464261
M-chr3_24680652_24680686	5927.636554692573
M-chr14_55271259_55271293	19503.836405762675
M-chr1_27388575_27388609	6979.314007944483
M-chr1_31594163_31594197	6023.243595897292
M-chr1_3518358_3518392	7457.349213968078
M-chr10_72274893_72274927	5832.0295134878525
M-chr17_76299319_76299353	6310.06471951145
M-chr2_241878169_241878203	6883.706966739764
M-chr22_44081349_44081383	6214.4576783067305
M-chr3_136752402_136752436	5832.029513487854
M-chr5_178284244_178284278	11855.27310938515
M-chr9_112844838_112844872	13480.592809865371
M-chr11_122754722_122754756	7648.563296377512
M-chr11_65112656_65112690	7457.349213968074
M-chr17_59521649_59521683	7074.921049149203
M-chr6_16169097_16169131	6979.314007944478
M-chr8_15378452_15378486	6883.706966739761
M-chr14_20855864_20855898	7744.1703375822335
M-chr4_10538160_10538194	7744.170337582229
M-chr6_40587672_40587706	8222.205543605829
M-chr10_80699670_80699704	9178.275955653016
M-chr2_97700332_97700366	9082.668914448299
M-chr9_122125317_122125351	8795.847790834141
M-chr19_42296216_42296250	10612.381573723802
M-chr1_46406495_46406529	11090.416779747393
M-chr10_132453301_132453335	11472.844944566272
M-chr9_131393951_131393985	11377.237903361556
M-chr11_72793820_72793854	13384.985768660643
M-chr8_28324480_28324514	13193.771686251208
M-chr1_247390256_247390290	17018.05333443997
M-chr1_150561059_150561093	7648.563296377517
M-chr1_179002856_179002890	8317.812584810548
M-chr11_67993942_67993976	5545.208389873696
M-chr12_7109315_7109349	12524.522397818182
M-chr14_100851297_100851331	7744.170337582233
M-chr14_104723707_104723741	5545.208389873696
M-chr14_22986726_22986760	5449.601348668976
M-chr14_75307954_75307988	6501.278801920885
M-chr16_10918923_10918957	5832.029513487854
M-chr16_20300641_20300675	4971.566142645382
M-chr16_67155520_67155554	6979.314007944481
M-chr17_18960970_18961004	8987.061873243583
M-chr18_5023497_5023531	8509.026667219983
M-chr19_12777715_12777749	10899.202697337958
M-chr19_42108700_42108734	14819.091386731436
M-chr19_55467941_55467975	10038.73932649549
M-chr2_177263633_177263667	5927.636554692576
M-chr2_219294672_219294706	5927.636554692574
M-chr2_72993237_72993271	7744.170337582231
M-chr2_73163935_73163969	5545.208389873696
M-chr20_31503293_31503327	6883.706966739762
M-chr20_50478410_50478444	4971.5661426453835
M-chr20_54199819_54199853	8126.598502401109
M-chr22_37817774_37817808	12333.30831540874
M-chr22_39170942_39170976	9656.311161676615
M-chr5_170623739_170623773	5927.636554692574
M-chr7_99979919_99979953	13384.98576866065
M-chr8_123022583_123022617	6979.314007944483
M-chr8_17577025_17577059	10229.953408904923
M-chr8_6572399_6572433	5640.815431078415
M-chr9_129726757_129726791	7457.34921396808
M-chr9_93682305_93682339	6501.278801920887
M-chrX_102863910_102863944	5162.780225054823
M-chrX_19739828_19739862	6023.243595897293
M-chr15_90143300_90143334	12811.343521432334
M-chr1_50368607_50368641	12237.701274204024
M-chr14_99947052_99947086	12620.129439022901
M-chr12_119667728_119667762	8795.84779083414
M-chr2_43106100_43106134	9656.311161676613
M-chr1_156584191_156584225	8700.240749629424
M-chr1_204747011_204747045	9560.704120471895
M-chr2_240143956_240143990	8126.598502401111
M-chr22_17058371_17058405	8987.06187324358
M-chr1_10942131_10942165	8413.419626015271
M-chr10_58531268_58531302	7170.528090353921
M-chr5_135466261_135466295	7266.135131558637
M-chr5_154610511_154610545	7361.742172763358
M-chr8_4837958_4837992	7744.170337582232
M-chr12_117854587_117854621	6979.314007944482
M-chr17_62066112_62066146	6692.492884330324
M-chr2_26330192_26330226	6405.67176071617
M-chr20_36156799_36156833	6788.099925535041
M-chr5_134146007_134146041	6118.85063710201
M-chr8_10425338_10425372	8030.991461196392
M-chr8_22695805_22695839	7170.528090353918
M-chr9_136791823_136791857	10038.739326495483
M-chr1_152001896_152001930	5449.601348668978
M-chr10_100743760_100743794	5067.173183850104
M-chr14_106006187_106006221	7074.9210491492
M-chr14_65961177_65961211	5640.815431078414
M-chr16_77971743_77971777	6023.243595897291
M-chr17_7990337_7990371	10994.809738542677
M-chr18_48676936_48676970	10229.953408904927
M-chr19_34121201_34121235	5258.38726625954
M-chr20_62382891_62382925	10421.16749131436
M-chr5_68252844_68252878	5353.994307464259
M-chr7_76359440_76359474	5640.815431078417
M-chr17_78251022_78251056	13002.557603841778
M-chr12_2885411_2885445	10707.988614928523
M-chr16_88743941_88743975	9751.918202881332
M-chr1_152533514_152533548	7457.349213968078
M-chr1_37434463_37434497	7648.563296377513
M-chr13_114226913_114226947	6979.314007944482
M-chr19_43594821_43594855	7266.135131558641
M-chr3_133927723_133927757	8222.205543605829
M-chr3_196196790_196196824	7935.384419991672
M-chr16_57519932_57519966	10134.346367700206
M-chr17_49408147_49408181	11472.844944566275
M-chr11_18764448_18764482	7170.528090353919
M-chr12_44948930_44948964	6310.06471951145
M-chr19_8253166_8253200	6405.671760716166
M-chr22_33579648_33579682	9369.490038062455
M-chr9_136758527_136758561	9656.311161676615
M-chr9_33466799_33466833	6501.2788019208865
M-chr17_4215504_4215538	9656.311161676613
M-chr22_31977336_31977370	8509.026667219983
M-chr1_94854549_94854583	5258.387266259541
