	K562_NFIA_BX_rep1_hg38_NFIA-u95_REORIENT-Random_SORT-Occupancy_150bp_5read1-MIN100_NCIS_sense.cdt	K562_NFIA_BX_rep1_hg38_NFIA-u95_REORIENT-Random_SORT-Occupancy_150bp_5read1-MIN100_NCIS_anti.cdt
chr8_129682234_129682249	62.79038883504523	182.39112947322675
chr7_100479334_100479349	2.990018515954535	38.87024070740895
chr10_72364411_72364426	73.25545364088615	128.57079618604504
chr1_156616630_156616645	41.86025922336347	50.83031477122708
chr7_106072235_106072250	28.405175901568075	100.16562028447694
chr6_41279118_41279133	43.35526848134074	145.01589802379502
chr19_47313323_47313338	17.94011109572721	156.9759720876132
chr16_66900154_66900169	11.96007406381814	34.385212933477135
chr1_112700967_112700982	29.900185159545345	34.38521293347714
chr12_56636941_56636956	19.435120353704477	11.96007406381814
chr6_16005996_16006011	22.425138869659012	56.81035180313614
chr22_21574675_21574690	35.8802221914544	83.72051844672701
chr1_11842353_11842368	37.37523144943168	65.78040735099977
chr11_114160164_114160179	16.445101837749945	145.015898023795
chr7_106859161_106859176	86.71053696268154	97.17560176852243
chr6_42563763_42563778	40.36524996538622	79.23549067279517
chr6_43627417_43627432	34.38521293347714	100.16562028447694
chr1_206455968_206455983	37.37523144943167	46.345286997295275
chr22_23223688_23223703	266.1116479199536	161.46099986154488
chr1_12478403_12478418	55.315342545158884	73.25545364088609
chr17_81394147_81394162	19.435120353704477	38.87024070740894
chr1_12162090_12162105	40.36524996538621	22.42513886965901
chr15_63436990_63437005	2.990018515954535	49.335305513249814
chr17_63676138_63676153	25.41515738561354	43.355268481340744
chr7_127798231_127798246	16.445101837749945	64.28539809302248
chr11_12707300_12707315	17.94011109572721	55.315342545158884
chr7_151039527_151039542	59.80037031909068	62.79038883504522
chr20_50166135_50166150	28.40517590156808	62.79038883504521
chr15_74546370_74546385	8.970055547863605	136.0458424759314
chr7_116876983_116876998	5.98003703190907	152.49094431368133
chr1_1758984_1758999	16.445101837749945	44.85027773931801
chr6_16109213_16109228	34.38521293347715	49.33530551324981
chr1_30184790_30184805	29.900185159545348	31.39519441752261
chr17_60602082_60602097	43.355268481340744	46.345286997295275
chr12_120229365_120229380	8.970055547863605	43.35526848134076
chr3_50610730_50610745	28.40517590156808	53.82033328718161
chr19_18157338_18157353	8.970055547863605	59.80037031909069
chr6_37240389_37240404	61.29537957706795	56.81035180313616
chr14_24425886_24425901	32.89020367549988	46.34528699729528
chr1_234523771_234523786	2.990018515954535	65.78040735099975
chrX_13647790_13647805	5.98003703190907	65.78040735099975
chr7_76303499_76303514	44.850277739318	127.07578692806774
chr6_37103470_37103485	22.425138869659015	53.82033328718161
chr22_22651771_22651786	22.425138869659015	29.900185159545345
chr13_67224392_67224407	11.96007406381814	150.99593505570408
chr6_13395521_13395536	64.28539809302248	52.32532402920434
chr1_224204960_224204975	7.475046289886338	38.870240707408946
chr1_40634234_40634249	52.325324029204346	64.2853980930225
chr9_132799212_132799227	19.43512035370448	55.31534254515888
chr1_203626733_203626748	10.465064805840873	136.0458424759314
chr7_116501576_116501591	19.435120353704477	52.32532402920433
chr11_125592795_125592810	16.445101837749945	86.71053696268156
chr3_14371987_14372002	22.425138869659015	11.96007406381814
chr17_82462156_82462171	7.475046289886338	47.84029625527255
chr19_35145261_35145276	37.37523144943169	82.22550918874971
chr11_72414372_72414387	58.30536106111341	68.7704258669543
chr17_60641974_60641989	29.900185159545345	52.32532402920435
chr7_104884313_104884328	38.87024070740894	26.910166643590813
chr15_20193622_20193637	61.29537957706794	322.9219997230896
chr6_27132042_27132057	22.42513886965901	35.8802221914544
chr1_110781092_110781107	37.37523144943167	23.920148127636274
chr1_218304776_218304791	19.435120353704477	38.870240707408946
chr1_234724396_234724411	107.64066657436332	65.78040735099978
chr1_242924874_242924889	14.950092579772676	86.71053696268157
chr20_32752497_32752512	55.3153425451589	26.910166643590813
chr17_30825868_30825883	31.39519441752261	43.35526848134075
chr19_17795044_17795059	183.88613873120403	25.415157385613547
chr17_45158605_45158620	37.37523144943167	56.81035180313616
chr3_14948180_14948195	348.3371571087031	88.20554622065882
chr4_159042375_159042390	13.455083321795408	109.13567583234061
chr12_118357633_118357648	43.355268481340744	16.445101837749945
chr11_62599217_62599232	1.4950092579772676	8.970055547863605
chr12_25276344_25276359	31.39519441752261	23.92014812763628
chr11_66702002_66702017	32.89020367549987	53.820333287181626
chr19_11344644_11344659	8.970055547863605	53.82033328718162
chr6_2770413_2770428	23.92014812763628	47.84029625527254
chr1_179017225_179017240	16.445101837749945	38.87024070740896
chr5_159095022_159095037	14.950092579772676	23.92014812763628
chr17_76414741_76414756	23.92014812763628	17.94011109572721
chr2_71883100_71883115	1.4950092579772676	79.23549067279521
chr6_118660375_118660390	20.930129611681746	26.910166643590806
